Topic_ID,rank,term,weight
0,1,available,2.013460208545087
0,2,acorn,0.5672655879591222
0,3,inference,0.40853439356258003
0,4,bayesian,0.36839726222736185
0,5,convolution,0.31532212227415496
0,6,unreliable,0.3149752486445074
0,7,biased,0.3013811478337364
0,8,associated,0.26786396318968714
0,9,sampler,0.26612175067433846
0,10,batch,0.26433215198069476
0,11,oak,0.25709445586359214
0,12,moisture,0.2570481740819174
0,13,regeneration,0.25640112737352405
0,14,metadata,0.2418055130038913
0,15,medicine,0.23968401062537026
0,16,approximate,0.23161745062896388
0,17,augmentation,0.22583355523455995
0,18,modelling,0.22525882565441663
0,19,probability,0.22096740623962216
0,20,emphasis,0.21250395130609093
1,1,inf,2.151527521334257
1,2,emission,1.641092430435868
1,3,oxide,1.4210196340508716
1,4,catalytic,1.3757718577335805
1,5,combustion,1.3079031513057129
1,6,ligand,1.1901653241331474
1,7,ferrite,1.1720287795962412
1,8,equivalent,1.0770565374969288
1,9,carbon,1.03568016221314
1,10,length,1.0356414740052564
1,11,industrial,1.0340259398733103
1,12,photophysical,0.9910495014930981
1,13,ray,0.9883470419527985
1,14,ethanol,0.9875096255836583
1,15,photocatalytic,0.9635238998178844
1,16,electrocatalyst,0.96284238095498
1,17,particle,0.9469127487901595
1,18,adsorption,0.9361326298864104
1,19,phase,0.930084989335259
1,20,glycol,0.9244682462215191
2,1,tourism,2.2167898936794947
2,2,company,1.8377970649128899
2,3,article,1.7809570295902881
2,4,social,1.7563984716126786
2,5,innovation,1.718593010013771
2,6,sustainability,1.4968485328314878
2,7,economy,1.4884109533548082
2,8,firm,1.447323300818287
2,9,biomass,1.3560134950893181
2,10,employee,1.300272600439537
2,11,sustainable,1.2586002828543095
2,12,government,1.193688776268038
2,13,stakeholder,1.1802086253485227
2,14,sector,1.1730666857068581
2,15,plan,1.1424116635972352
2,16,conceptual,1.1350550942226743
2,17,research,1.0962341759144338
2,18,organizational,1.0779813807556846
2,19,manager,1.0762855799551398
2,20,logistic,1.0610860998253058
3,1,energy,2.517901742925705
3,2,power,2.5083927339858167
3,3,system,2.2270979904902934
3,4,sensor,1.988987579872159
3,5,frequency,1.6913657783884533
3,6,antenna,1.6805523698948923
3,7,optical,1.6786129777323928
3,8,technique,1.6029578410978353
3,9,anisotropy,1.586151095964531
3,10,experimental,1.5412528126237368
3,11,signal,1.485531972712877
3,12,paper,1.3880998781975304
3,13,parameter,1.3578138392661039
3,14,theorem,1.3050753929471788
3,15,photonic,1.262607373499561
3,16,fiber,1.2484760337542284
3,17,simulation,1.2458593405929286
3,18,gan,1.1679647040138845
3,19,thickness,1.165021905260522
3,20,voltage,1.154132269956784
4,1,cell,2.8072910921937146
4,2,acid,2.6859580877408447
4,3,protein,2.207272105125575
4,4,property,1.5484012733888526
4,5,dna,1.5298576834099016
4,6,biological,1.5223537660478346
4,7,compound,1.4670259446005227
4,8,tumor,1.4366430091380569
4,9,derivative,1.4015133077166013
4,10,nanoparticle,1.3432549415030597
4,11,product,1.3043346160865916
4,12,fluorescence,1.29691814132349
4,13,antioxidant,1.2686077649870526
4,14,bioactive,1.25069818060724
4,15,molecular,1.1974987893515394
4,16,mixture,1.1610821934293698
4,17,reaction,1.1525218276048583
4,18,drug,1.1477626793026217
4,19,effect,1.0818668122310346
4,20,metabolism,1.0643667796130563
5,1,black,1.9724080585466934
5,2,gravitational,1.8337857276352756
5,3,hole,1.2972594627618312
5,4,wave,1.25070001614454
5,5,star,1.120805821303244
5,6,masse,1.0850925661404565
5,7,formula,1.0451981894221192
5,8,virgo,1.0234619022339841
5,9,jet,1.0224877002313961
5,10,higgs,0.9999056659921215
5,11,model,0.9990875513228383
5,12,run,0.994766123444708
5,13,mass,0.977729583904911
5,14,existence,0.9215802298464736
5,15,boson,0.9122662868327841
5,16,einstein,0.8846317742966499
5,17,eht,0.8811234360056058
5,18,scalar,0.876384234045875
5,19,solution,0.8654083843131531
5,20,relativity,0.8543201526939564
6,1,patient,3.1896421182426504
6,2,disease,2.7642431903481426
6,3,health,2.732994729304661
6,4,clinical,2.2358762680624165
6,5,care,1.8126675115845143
6,6,group,1.5084527537840935
6,7,healthcare,1.3874993458577591
6,8,old,1.268931890765792
6,9,adult,1.2624359228595294
6,10,conclusion,1.161106816102007
6,11,participant,1.0924951352574752
6,12,gender,1.0719614391561672
6,13,hospital,1.0717326499776165
6,14,vaccination,1.0365952846332278
6,15,age,1.0259425328177283
6,16,automorphism,0.9637034568447955
6,17,anxiety,0.9417255119012347
6,18,diagnostic,0.9318092870105257
6,19,score,0.9172995552325935
6,20,sexual,0.9121373758766448
7,1,specie,4.319654155126877
7,2,soil,1.9764246068300133
7,3,water,1.8645818450155678
7,4,sediment,1.8397618611788447
7,5,conservation,1.604478430587759
7,6,river,1.5853999649816846
7,7,area,1.567472994834571
7,8,habitat,1.389554549678477
7,9,ecosystem,1.3838906867806724
7,10,marine,1.353483047962745
7,11,coastal,1.273791938476515
7,12,icp,1.2349573115843056
7,13,isotopic,1.2250170507532212
7,14,climate,1.17906944857893
7,15,pollutant,1.1424812344078625
7,16,species,1.0845845358055162
7,17,sea,1.0373434129441612
7,18,change,1.0330104783246628
7,19,distribution,0.9343828928919289
7,20,fish,0.9287295550125391
8,1,student,3.8762890543487916
8,2,education,3.093745668734762
8,3,educational,2.0117770528718415
8,4,school,1.9782544186654498
8,5,university,1.8299511384305658
8,6,skill,1.8035393110128055
8,7,teacher,1.5860681771239742
8,8,teaching,1.5799680816323072
8,9,learning,1.5126566287620227
8,10,course,1.3282607762929732
8,11,audience,1.1691702983088195
8,12,aspect,1.1065824187726843
8,13,chinese,1.1042473130636212
8,14,pedagogical,1.0439398642838404
8,15,science,1.0392995479447136
8,16,game,0.9479781678889111
8,17,text,0.9187104157796725
8,18,program,0.9025521344141723
8,19,document,0.8986189604990732
8,20,institution,0.8846955167093218
9,1,network,4.4869587590586795
9,2,vehicle,2.0698522273067335
9,3,infrastructure,1.6183970723177727
9,4,edge,1.5528925659953843
9,5,service,1.3442359025994282
9,6,graph,1.3387753369879316
9,7,computing,1.3144543611853936
9,8,traffic,1.2964646423763322
9,9,user,1.2375254026806033
9,10,datum,1.2352326790317458
9,11,privacy,1.1480585992059837
9,12,scenario,1.0832025607513378
9,13,real,1.0622886666066444
9,14,intelligent,1.0561317173370277
9,15,container,0.9933832924394206
9,16,protocol,0.9413018219241803
9,17,road,0.9386833767379227
9,18,internet,0.9326024077155156
9,19,neural,0.9233992046933145
9,20,industrial,0.9227697743910632
